instancia16.txt_5_currentSA	instancia16.txt_5_bestSA	instancia16.txt_5_currentTS	instancia16.txt_5_bestTS	instancia16.txt_5_currentGrasp	instancia16.txt_5_bestGrasp	instancia16.txt_5_currentIG	instancia16.txt_5_bestIG	
111	82	68.6	68.6	80	68.2	0	0	
111	82	68.6	68.6	78.2	68.2	0	0	
113.8	82	68.6	68.6	70.2	68.2	0	0	
117.8	82	68.6	68.6	68.2	68.2	0	0	
117.8	82	68.6	68.6	118.6	68.2	0	0	
102.8	82	68.6	68.6	118.6	68.2	0	0	
105.8	82	68.6	68.6	110.4	68.2	0	0	
110	82	68.6	68.6	106.4	68.2	0	0	
112	82	68.6	68.6	100.2	68.2	0	0	
112	82	68.6	68.6	98.2	68.2	0	0	
106.8	82	68.6	68.6	94.2	68.2	0	0	
113.4	82	68.6	68.6	92.2	68.2	0	0	
113	82	68.6	68.6	88.2	68.2	0	0	
118.4	82	68.6	68.6	84	68.2	0	0	
118.4	82	68.6	68.6	80	68.2	0	0	
116.2	82	68.6	68.6	78.2	68.2	0	0	
120.8	82	68.6	68.6	70.2	68.2	0	0	
122.4	82	68.6	68.6	68.2	68.2	0	0	
115.4	82	68.6	68.6	118.6	68.2	0	0	
119.4	82	68.6	68.6	118.6	68.2	0	0	
110.8	82	68.6	68.6	110.4	68.2	0	0	
119.2	82	68.6	68.6	106.4	68.2	0	0	
123	82	68.6	68.6	100.2	68.2	0	0	
121	82	68.6	68.6	98.2	68.2	0	0	
123	82	68.6	68.6	94.2	68.2	0	0	
125	82	68.6	68.6	92.2	68.2	0	0	
119	82	68.6	68.6	88.2	68.2	0	0	
111	82	68.6	68.6	84	68.2	0	0	
109	82	68.6	68.6	80	68.2	0	0	
95	82	68.6	68.6	78.2	68.2	0	0	
95	82	68.6	68.6	70.2	68.2	0	0	
95	82	68.6	68.6	68.2	68.2	0	0	
95	82	68.6	68.6	118.6	68.2	0	0	
95	82	68.6	68.6	118.6	68.2	0	0	
86.6	82	68.6	68.6	110.4	68.2	0	0	
94.2	82	68.6	68.6	106.4	68.2	0	0	
94	82	68.6	68.6	100.2	68.2	0	0	
94	82	68.6	68.6	98.2	68.2	0	0	
90	82	68.6	68.6	94.2	68.2	0	0	
86	82	68.6	68.6	92.2	68.2	0	0	
82	82	68.6	68.6	88.2	68.2	0	0	
78.2	78.2	68.6	68.6	84	68.2	0	0	
78.2	78.2	68.6	68.6	80	68.2	0	0	
86.6	78.2	68.6	68.6	78.2	68.2	0	0	
117.4	78.2	68.6	68.6	70.2	68.2	0	0	
117.4	78.2	68.6	68.6	68.2	68.2	0	0	
117.4	78.2	68.6	68.6	118.6	68.2	0	0	
113.4	78.2	68.6	68.6	118.6	68.2	0	0	
114.2	78.2	68.6	68.6	110.4	68.2	0	0	
118.2	78.2	68.6	68.6	106.4	68.2	0	0	
113.8	78.2	68.6	68.6	100.2	68.2	0	0	
113.8	78.2	68.6	68.6	98.2	68.2	0	0	
105.8	78.2	68.6	68.6	94.2	68.2	0	0	
105.2	78.2	68.6	68.6	92.2	68.2	0	0	
112.8	78.2	68.6	68.6	88.2	68.2	0	0	
112.8	78.2	68.6	68.6	84	68.2	0	0	
102.8	78.2	68.6	68.6	80	68.2	0	0	
114.8	78.2	68.6	68.6	78.2	68.2	0	0	
114.8	78.2	68.6	68.6	70.2	68.2	0	0	
114.8	78.2	68.6	68.6	68.2	68.2	0	0	
122.8	78.2	68.6	68.6	118.6	68.2	0	0	
120.8	78.2	68.6	68.6	118.6	68.2	0	0	
120.8	78.2	68.6	68.6	110.4	68.2	0	0	
120.8	78.2	68.6	68.6	106.4	68.2	0	0	
108	78.2	68.6	68.6	100.2	68.2	0	0	
114.4	78.2	68.6	68.6	98.2	68.2	0	0	
104.2	78.2	68.6	68.6	94.2	68.2	0	0	
112.4	78.2	68.6	68.6	92.2	68.2	0	0	
112.4	78.2	68.6	68.6	88.2	68.2	0	0	
104.4	78.2	68.6	68.6	84	68.2	0	0	
108.2	78.2	68.6	68.6	80	68.2	0	0	
108.2	78.2	68.6	68.6	78.2	68.2	0	0	
112.4	78.2	68.6	68.6	70.2	68.2	0	0	
113.2	78.2	68.6	68.6	68.2	68.2	0	0	
121.2	78.2	68.6	68.6	118.6	68.2	0	0	
117.2	78.2	68.6	68.6	118.6	68.2	0	0	
121.8	78.2	68.6	68.6	110.4	68.2	0	0	
117.4	78.2	68.6	68.6	106.4	68.2	0	0	
117.4	78.2	68.6	68.6	100.2	68.2	0	0	
119.8	78.2	68.6	68.6	98.2	68.2	0	0	
120.4	78.2	68.6	68.6	94.2	68.2	0	0	
116	78.2	68.6	68.6	92.2	68.2	0	0	
108	78.2	68.6	68.6	88.2	68.2	0	0	
107.8	78.2	68.6	68.6	84	68.2	0	0	
99.4	78.2	68.6	68.6	80	68.2	0	0	
99.4	78.2	68.6	68.6	78.2	68.2	0	0	
99.2	78.2	68.6	68.6	70.2	68.2	0	0	
103	78.2	68.6	68.6	68.2	68.2	0	0	
103	78.2	68.6	68.6	118.6	68.2	0	0	
99.2	78.2	68.6	68.6	118.6	68.2	0	0	
101.2	78.2	68.6	68.6	110.4	68.2	0	0	
97	78.2	68.6	68.6	106.4	68.2	0	0	
105.6	78.2	68.6	68.6	100.2	68.2	0	0	
109.8	78.2	68.6	68.6	98.2	68.2	0	0	
111.8	78.2	68.6	68.6	94.2	68.2	0	0	
111.8	78.2	68.6	68.6	92.2	68.2	0	0	
113.8	78.2	68.6	68.6	88.2	68.2	0	0	
117.4	78.2	68.6	68.6	84	68.2	0	0	
114	78.2	68.6	68.6	80	68.2	0	0	
101	78.2	68.6	68.6	78.2	68.2	0	0	
115.8	78.2	68.6	68.6	70.2	68.2	0	0	
115.8	78.2	68.6	68.6	68.2	68.2	0	0	
115.8	78.2	68.6	68.6	118.6	68.2	0	0	
115.8	78.2	68.6	68.6	118.6	68.2	0	0	
112	78.2	68.6	68.6	110.4	68.2	0	0	
116.8	78.2	68.6	68.6	106.4	68.2	0	0	
116.8	78.2	68.6	68.6	100.2	68.2	0	0	
113.2	78.2	68.6	68.6	98.2	68.2	0	0	
113.2	78.2	68.6	68.6	94.2	68.2	0	0	
121.2	78.2	68.6	68.6	92.2	68.2	0	0	
117.8	78.2	68.6	68.6	88.2	68.2	0	0	
109.8	78.2	68.6	68.6	84	68.2	0	0	
109.8	78.2	68.6	68.6	80	68.2	0	0	
109.8	78.2	68.6	68.6	78.2	68.2	0	0	
117.2	78.2	68.6	68.6	70.2	68.2	0	0	
117.2	78.2	68.6	68.6	68.2	68.2	0	0	
114.8	78.2	68.6	68.6	118.6	68.2	0	0	
100.4	78.2	68.6	68.6	118.6	68.2	0	0	
100.4	78.2	68.6	68.6	110.4	68.2	0	0	
110.8	78.2	68.6	68.6	106.4	68.2	0	0	
110.2	78.2	68.6	68.6	100.2	68.2	0	0	
114.2	78.2	68.6	68.6	98.2	68.2	0	0	
109.6	78.2	68.6	68.6	94.2	68.2	0	0	
120.2	78.2	68.6	68.6	92.2	68.2	0	0	
122.2	78.2	68.6	68.6	88.2	68.2	0	0	
122.2	78.2	68.6	68.6	84	68.2	0	0	
116	78.2	68.6	68.6	80	68.2	0	0	
108.8	78.2	68.6	68.6	78.2	68.2	0	0	
108.8	78.2	68.6	68.6	70.2	68.2	0	0	
100.4	78.2	68.6	68.6	68.2	68.2	0	0	
104.4	78.2	68.6	68.6	118.6	68.2	0	0	
106.4	78.2	68.6	68.6	118.6	68.2	0	0	
106.4	78.2	68.6	68.6	110.4	68.2	0	0	
106.4	78.2	68.6	68.6	106.4	68.2	0	0	
110	78.2	68.6	68.6	100.2	68.2	0	0	
99.6	78.2	68.6	68.6	98.2	68.2	0	0	
99.6	78.2	68.6	68.6	94.2	68.2	0	0	
96.4	78.2	68.6	68.6	92.2	68.2	0	0	
96.4	78.2	68.6	68.6	88.2	68.2	0	0	
94.4	78.2	68.6	68.6	84	68.2	0	0	
98.2	78.2	68.6	68.6	80	68.2	0	0	
102	78.2	68.6	68.6	78.2	68.2	0	0	
90.2	78.2	68.6	68.6	70.2	68.2	0	0	
106.4	78.2	68.6	68.6	68.2	68.2	0	0	
98.2	78.2	68.6	68.6	118.6	68.2	0	0	
102.6	78.2	68.6	68.6	118.6	68.2	0	0	
110.6	78.2	68.6	68.6	110.4	68.2	0	0	
110.6	78.2	68.6	68.6	106.4	68.2	0	0	
119	78.2	68.6	68.6	100.2	68.2	0	0	
116.6	78.2	68.6	68.6	98.2	68.2	0	0	
108.6	78.2	68.6	68.6	94.2	68.2	0	0	
116.8	78.2	68.6	68.6	92.2	68.2	0	0	
114.8	78.2	68.6	68.6	88.2	68.2	0	0	
114.8	78.2	68.6	68.6	84	68.2	0	0	
119	78.2	68.6	68.6	80	68.2	0	0	
119	78.2	68.6	68.6	78.2	68.2	0	0	
115	78.2	68.6	68.6	70.2	68.2	0	0	
111.4	78.2	68.6	68.6	68.2	68.2	0	0	
121.8	78.2	68.6	68.6	118.6	68.2	0	0	
119.8	78.2	68.6	68.6	118.6	68.2	0	0	
120.6	78.2	68.6	68.6	110.4	68.2	0	0	
115.8	78.2	68.6	68.6	106.4	68.2	0	0	
119.2	78.2	68.6	68.6	100.2	68.2	0	0	
120.8	78.2	68.6	68.6	98.2	68.2	0	0	
123	78.2	68.6	68.6	94.2	68.2	0	0	
123	78.2	68.6	68.6	92.2	68.2	0	0	
112.6	78.2	68.6	68.6	88.2	68.2	0	0	
112.6	78.2	68.6	68.6	84	68.2	0	0	
119.6	78.2	68.6	68.6	80	68.2	0	0	
120.6	78.2	68.6	68.6	78.2	68.2	0	0	
127.6	78.2	68.6	68.6	70.2	68.2	0	0	
127.6	78.2	68.6	68.6	68.2	68.2	0	0	
123.2	78.2	68.6	68.6	118.6	68.2	0	0	
118.6	78.2	68.6	68.6	118.6	68.2	0	0	
